Threshold,False Positive Rate (x),True Positive Rate (y)
0.872000,0.022822,0.508299
0.873000,0.022822,0.508299
0.874000,0.022822,0.506224
0.875000,0.022822,0.502075
0.876000,0.022822,0.497925
0.877000,0.022822,0.491701
0.878000,0.022822,0.489627
0.879000,0.022822,0.483402
0.880000,0.022822,0.479253
0.881000,0.022822,0.475104
0.882000,0.020747,0.466805
0.883000,0.020747,0.464730
0.884000,0.020747,0.462656
0.885000,0.020747,0.460581
0.886000,0.020747,0.456432
0.887000,0.020747,0.452282
0.888000,0.018672,0.443983
0.889000,0.018672,0.439834
0.890000,0.018672,0.435685
0.891000,0.018672,0.429461
0.892000,0.018672,0.425311
0.893000,0.018672,0.423237
0.894000,0.018672,0.419087
0.895000,0.018672,0.419087
0.896000,0.018672,0.417012
0.897000,0.018672,0.414938
0.898000,0.018672,0.406639
0.899000,0.018672,0.400415
0.900000,0.018672,0.398340
0.901000,0.018672,0.392116
0.902000,0.018672,0.385892
0.903000,0.018672,0.383817
0.904000,0.018672,0.383817
0.905000,0.018672,0.383817
0.906000,0.016598,0.381743
0.907000,0.016598,0.379668
0.908000,0.016598,0.377593
0.909000,0.016598,0.371369
0.910000,0.016598,0.369295
0.911000,0.014523,0.363071
0.912000,0.014523,0.360996
0.913000,0.014523,0.356846
0.914000,0.014523,0.352697
0.915000,0.014523,0.352697
0.916000,0.014523,0.342324
0.917000,0.014523,0.334025
0.918000,0.014523,0.329876
0.919000,0.014523,0.327801
0.920000,0.014523,0.319502
0.921000,0.012448,0.311203
0.922000,0.012448,0.311203
0.923000,0.012448,0.302905
